ENTIDAD PRODUCTORA	NOMBRE OFICINA PRODUCTORA	CÓD. OFICINA PRODUCTORA	CÓD. SERIE	SERIE DOCUMENTAL	CÓD. SUB/SERIE	SUBSERIE DOCUMENTAL
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.02	ACTAS	0300.02.03	ACTAS COMITÉ ANTITRAMITES Y DE GOBIERNO EN LINEA
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.02	ACTAS	0300.02.07	ACTAS COMITÉ CONTRATACION, FACTURACION, VENTA DE SERVICIOS DE SALUD, GLOSAS Y CARTERA
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.02	ACTAS	0300.02.11	ACTAS COMITÉ ETICA HOSPITALARIO
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.02	ACTAS	0300.02.12	ACTA COMITÉ EVALUADOR .
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.02	ACTAS	0300.02.17	ACTAS DE JUNTA DIRECTIVA
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.03	CIRCULARES	0300.03.27	CIRCULARES INFORMATIVAS
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.03	CIRCULARES	0300.03.28	CIRCULARES NORMATIVAS
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.28	REGISTROS	300.28.109	REGISTROS DE CONTROL
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.13	INFORMES	300.13.60	INFORMES DE GESTION
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.13	INFORMES	300.13.61	INFORMES A ORGANISMOS DE CONTROL
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.13	INFORMES	300.13.62	INFORME A ENTIDADES DEL ESTADO
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.20	PLANES	300.20.75	PLAN ANUAL DE CONTRATACION
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.20	PLANES	300.20.76	PLAN ANUAL DE COMPRAS
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.20	PLANES	300.20.77	PLAN AUDITORIA PARA EL MEJORAMIENTO CONTINUO-PAMEC
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.20	PLANES	300.20.80	PLAN DE GESTION
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.20	PLANES	300.20.86	PLAN DE INVERSION
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.21	POLITICAS DE CALIDAD	300.21.90	POLITIAS DE OPERACIÓN
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.26	PROGRAMAS	300.26.104	PROGRAMA PLANTA DE PERSONAL
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.27	PROYECTOS	300.27.108	PROYECTOS DE INVERSION
HOSPITAL DEL SARARE ESE	GERENCIA	300	300.29	RESOLUCIONES	300.29	RESOLUCIONES
HOSPITAL DEL SARARE ESE	JURIDICA	301	301.01	ACCIONES CONSTITUCIONALES	0301.01.01	ACCION DE TUTELAS
HOSPITAL DEL SARARE ESE	JURIDICA	301	301.02	ACTAS	0301.02.06	ACTAS COMITÉ DE CONCILIACION
HOSPITAL DEL SARARE ESE	JURIDICA	301	301.06	CONTRATOS	301.06.34	CONTRATO DE ARRENDAMIENTO
